
L’Attaque Des Titans<;>Action, Tragedy, Dark fantasy<;>/img/lattaquedestitans.jpg<;>87 épisodes | 4 saison<;>Ranked #113 Popularity #1 Members 3,895,863<;>Kodansha Ltd.<;>Dans un monde ravagé par des titans mangeurs d’homme depuis plus d’un siècle, les rares survivants de l’Humanité n’ont d’autre choix pour survivre que de se barricader dans une cité-forteresse. Le jeune Eren, témoin de la mort de sa mère dévorée par un titan, n’a qu’un rêve : entrer dans le corps d’élite chargé de découvrir l’origine des titans, et les annihiler jusqu’au dernier…<;>
Chainsaw Man<;>Action, Drama, Dark Fantasy<;>/img/chainsaw.jpg<;>12 épisodes | 1 saison<;>Ranked #120 Popularity #81 Members 1,458,342<;>MAPPA<;>Denji est un adolescent qui vit avec son chien-démon-tronçonneuse, Pochita. À cause d’une énorme dette que son père a laissée derrière lui, le garçon se retrouve dans la misère la plus totale, cherchant avec Pochita à rembourser l’argent en récoltant des cadavres de démons pour le compte d’une organisation.Un jour, Denji est trahi et tué. Encore conscient, il passe un contrat avec Pochita et renaît sous le nom de Chainsaw Man, un homme au cœur de démon…<;>
One Piece<;>Nekketsu, Adventure, Comedy<;>/img/onepiece.jpg<;>1093 épisodes | 14 saison<;>Ranked #50 Popularity #19 Members 2,313,647<;>Toei Animation<;>Luffy et son équipage naviguent sur les mers à la recherche du légendaire trésor appelé « One Piece » et doivent faire face à de nombreuses aventures. Celui qui s’en emparera deviendra le roi des pirates, rêve ultime de Luffy.<;>
Demon Slayer<;>Action, Adventure, Dark fantasy<;>/img/demonslayer.jpg<;>48 épisodes | 3 saison<;>Ranked #139 Popularity #7 Members 2,973,224<;>Aniplex of America<;>Découvrez une aventure où le sang va couler sous la lame de l’épée. Nous sommes pendant l’ère Taishô. Tanjirô, un jeune et sympathique vendeur de charbon voit son quotidien changer radicalement après le massacre de sa famille par un démon. Seule sa petite sœur Nezuko survit à l’attaque, mais elle est transformée en un démon féroce. Ils partent tous deux en voyage afin de prendre leur revanche et de rendre à Nezuko son apparence d’origine. Vivez avec eux ce périple dans lequel le destin des humains et des démons s’entremêlent.<;>
Tokyo Ghoul<;>Action, Dark Fantasy<;>/img/tokyoghoul.jpg<;>48 épisodes | 4 saisons<;>Ranked #98 Popularity #58 Members 1,778,563<;>Studio Pierrot<;>Dans un Tokyo contemporain où des goules cannibales se cachent parmi les humains, Ken Kaneki, un étudiant timide, est transformé en demi-goule après une rencontre traumatisante. Désormais pris entre deux mondes, il doit naviguer dans ce nouvel univers tout en luttant pour sa survie.<;>
Hunter x Hunter<;>Action, Adventure, Fantasy<;>/img/hunter.jpg<;>148 épisodes | 6 saisons<;>Ranked #8 Popularity #12 Members 2,497,319<;>Madhouse<;>Gon Freecss, un jeune garçon, aspire à devenir un Hunter, un aventurier d'élite chargé de trouver des trésors, des animaux rares et même des criminels. Il entreprend un voyage épique pour passer l'examen de Hunter, faisant face à de nombreux défis et dangers en cours de route.<;>
Black Clover<;>Action, Comedy, Magic, Fantasy<;>/img/bcm.jpg<;>170+ épisodes | En cours<;>Ranked #396 Popularity #51 Members 1,778,063<;>Pierrot<;>Dans un monde où la magie est tout, Asta, un jeune garçon né sans aucun pouvoir magique, aspire à devenir le Sorcier Empereur, le plus grand mage de tous les temps. Malgré son absence de magie, il s'engage à surpasser ses limites et à protéger son royaume avec sa détermination sans faille.<;>
Naruto<;>Action, Adventure, Fantasy<;>/img/naruto.jpg<;>220 épisodes | 1ère série ; 500 épisodes | Naruto Shippuden<;>Ranked #32 Popularity #95 Members 2,089,476 (Naruto Shippuden)<;>Pierrot<;>Naruto Uzumaki, un jeune ninja espiègle, aspire à devenir le plus grand ninja de son village et à obtenir le titre de Hokage, le chef de son village. Il doit surmonter de nombreux obstacles et ennemis, y compris les démons à queues appelés les Bijuu, pour atteindre son objectif.<;>
Bleach<;>Action, Adventure, Supernatural<;>/img/bleach.jpg<;>366 épisodes<;>Ranked #285 Popularity #185 Members 1,675,517<;>Pierrot<;> Ichigo Kurosaki, un lycéen doté de la capacité de voir les esprits, obtient les pouvoirs d'un Shinigami (dieu de la mort) et doit protéger les humains des esprits malfaisants appelés Hollows. Il entreprend des missions pour purifier les âmes errantes tout en découvrant les secrets de son propre passé.<;>
Death Note<;>Mystery, Psychological, Supernatural, Thriller<;>/img/deathnote.jpg<;>37 épisodes<;>Ranked #13 Popularity #2 Members 3,995,437<;>Madhouse<;>Light Yagami, un lycéen brillant, découvre un carnet surnaturel appelé Death Note, qui lui permet de tuer quiconque dont il connaît le nom et le visage. Il décide d'utiliser ce pouvoir pour éliminer les criminels et instaurer sa vision de la justice, mais se retrouve en opposition avec un détective de génie connu sous le nom de L.<;>
Fullmetal Alchemist: Brotherhood<;>Action, Adventure, Fantasy<;>/img/fullmetal.jpg<;>64 épisodes<;>Ranked #1 Popularity #3 Members 4,804,027<;>Bones<;>Edward et Alphonse Elric, deux frères alchimistes, cherchent la Pierre Philosophale pour restaurer leurs corps après une tentative d'alchimie interdite qui a mal tourné. Leur voyage les confronte à des conspirations politiques, des alchimistes corrompus et à la véritable nature de l'alchimie.<;>
My Hero Academia<;>Action, Comedy, School, Shounen, Super Power<;>/img/mha.jpg<;>113+ épisodes | 6 saisons (en cours)<;>Ranked #15 Popularity #18 Members 3,313,252<;>Bones<;>Dans un monde où presque tout le monde possède des super-pouvoirs appelés "Alters", Izuku Midoriya, un garçon sans pouvoirs, rêve de devenir un héros. Après une rencontre fortuite avec son héros préféré, All Might, il reçoit le pouvoir de devenir un héros et intègre une académie prestigieuse pour héros en devenir.<;>
Sword Art Online<;>Action, Adventure, Fantasy, Game, Romance<;>/img/sao.jpg<;>97 épisodes | 4 saisons<;>Ranked #90 Popularity #71 Members 2,493,013<;>A-1 Pictures<;>Dans un futur proche, les joueurs se connectent à un jeu de réalité virtuelle immersif appelé Sword Art Online. Cependant, lors de la première journée de jeu, ils découvrent qu'ils ne peuvent plus se déconnecter. Kirito, un des joueurs, doit maintenant trouver un moyen de sortir du jeu mortel.<;>
Fairy Tail<;>Action, Adventure, Comedy, Fantasy, Magic, Shounen<;>/img/fairytail.jpg<;>328 épisodes | 9 saisons<;>Ranked #54 Popularity #49 Members 1,776,625<;>A-1 Pictures<;>Lucy Heartfilia rejoint la guilde de magiciens célèbre et excentrique, Fairy Tail. Avec ses nouveaux amis et coéquipiers, elle entreprend des missions périlleuses, combattant des ennemis redoutables et découvrant les mystères de son propre passé.<;>
One Punch Man<;>Action, Comedy, Parody, Sci-Fi, Super Power, Supernatural<;>/img/opm.jpg<;>24 épisodes | 2 saisons<;>Ranked #16 Popularity #11 Members 3,150,432<;>Madhouse<;>Saitama, un homme ordinaire devenu un héros invincible après un entraînement rigoureux, s'ennuie car il bat tous ses ennemis d'un seul coup de poing. Malgré cela, il continue à chercher un adversaire à sa hauteur tout en protégeant la ville des menaces.<;>
Jujutsu Kaisen<;>Action, Dark fantasy<;>/img/jujutsu.jpg<;>47 épisodes | 2 saison<;>Ranked #80 Popularity #15 Members 2,473,436<;>Toho<;>Pour sauver son camarade de classe, Yuji Itadori a mangé… un doigt de démon maudit. Il partage désormais son corps avec Ryomen Sukuna, un démon maléfique connu sous le nom de Roi des Fléaux.Yuji rejoint alors l’école d’exorcisme de Tokyo, qui lutte contre les fléaux. Guidé par son professeur, Satoru Gojo, il se lie d’amitié avec Megumi Fushiguro et Nobara Kugisaki, tous deux élèves de première année.<;>
